name,price,score
Som Nit Port Vell,317,8.8
Renaissance Barcelona Hotel,269,8.5
Leonardo Boutique Hotel Barcelona Sagrada Familia,319,8.9
H10 Catalunya Plaza Boutique Hotel,257,8.8
Hotel Best Front Maritim,242,7.9
Hotel Ingles,207,8.0
BYPILLOW Mothern,173,8.0
Boutique Hostemplo Sagrada Familia,241,9.2
Magatzem 128,176,9.4
Catalonia Barcelona 505,219,8.4
Hostal Nova Barcelona,188,8.6
Iberostar Selection Paseo de Gracia,182,9.1
Hotel Ciutadella Barcelona,219,8.5
Hotel Oasis,200,7.7
Citadines Ramblas Barcelona,460,8.5
Room Mate Pau,404,9.4
Lucasland,301,9.2
Apartment Barcelona Raval,264,8.8
The Level At Melia Barcelona Sky,269,8.8
Yeah Barcelona Hostel,230,9.1
Villa Santa Marta,269,8.6
H10 Madison,231,9.8
Hostal Goya,323,8.4
H10 Art Gallery,285,8.6
Midtown Apartments Barcelona,590,9.8
Hotel Ramblas Internacional,290,7.2
Chic & Basic Tallers Hostal,285,7.6
Exe Ramblas Boqueria,203,8.5
Aparthotel Silver,189,8.9
H10 Casa Mimosa,222,9.8
Apartaments Marina - Abapart,430,8.8
Hotel Casa Bonay,429,9.2
Hotel Barcelona Catedral,289,9.1
Hotel Nuevo Triunfo,233,7.7
Hotel Barceló Raval,255,8.9
Radisson Blu 1882 Hotel Barcelona Sagrada Familia,511,9.3
Best Western Premier Dante,172,8.9
Hotel Arts Barcelona,236,8.9
Casa Sagnier,302,9.8
Pestana Arena Barcelona,236,8.8
Hotel Midmost By Majestic Hotel Group,211,9.1
Transit,208,7.8
Kimpton Vividora Hotel An Ihg Hotel,230,9.4
Hotel Boutique Mirlo Barcelona,424,9.8
B Hotel,412,9.1
Hotel SOHO Barcelona,279,9.0
Gs Playafels Apts.,161,8.3
NH Barcelona Entenza,150,8.3
Tsh Barcelona Poblenou,241,9.2
Almanac Barcelona,227,9.6
Le Meridien Barcelona,195,8.6
Silken Ramblas,187,8.3
Hotel Barcelona Colonial,164,8.5
Barna House Hotel,210,8.3
Limehome Barcelona Rector Triado,556,8.8
Hotel Auto Hogar Barcelona,552,7.0
Arcelon Hotel,463,9.2
Vilana Hotel Boutique,325,8.3
Chic&Basic Reding,273,8.5
Sunlight And View 4-bedroom Sagrada Familia,255,6.5
The One Barcelona Gl,231,9.6
The Moods Oasis,418,8.6
Apartment Les Corts,393,8.4
Dorado 2,454,9.0
Room Mate Gerard,422,9.4
Good Dream,213,5.8
Abac Restaurant Hotel Barcelona Gl Monumento,179,9.4
Sercotel Amister Art Hotel,169,8.7
Hostal Balmes Centro,162,7.2
Hostal Baler,175,8.6
Kabul,155,8.2
Bhm1-108 Apartment For Families,229,8.2
Ohla Barcelona,209,9.5
Sir Victor Hotel,372,9.0
AC Hotel Irla by Marriott,509,8.4
Via Sants Hotel Barcelona Tapestry Collection By Hilton,219,9.2
Sercotel Caspe,239,8.7
Two Bedroom Two Bathroom Apartment Close To Beach,198,8.6
Hotel Catalunya,378,8.0
Cosmo Apartments Sants,265,8.4
Primavera Hostel,239,9.0
Gran Hotel Barcino,303,8.5
Safestay Barcelona Passeig de Gràcia,227,7.7
Itc Barcelona By Soho Boutique,233,7.6
Hotel Travessera,186,7.6
One Shot Arago 257,342,9.2
La França,292,8.2
Toc Hostel Barcelona,177,8.8
Vasanta Powered By Sonder,151,9.2
Casa Vaganto,194,9.4
Banys Orientals,182,7.9
Hostal Girona,198,8.2
Murmuri Residence Mercader,181,9.0
Near Fcb Stadium. One Car Free Parking.,227,7.8
Best Autohogar,212,7.9
Som Nit Born,797,8.4
Sonder Los Arcos,454,7.0
Hesperia Barri Ga²tic,409,8.4
Happy Apartments Barcelona,224,8.9
Hostal Barcelona Centro,222,9.1
Gran Hotel Havana 4Sup By Escampa Hotels,274,8.9
One Bedroom Apartment In Barcelona City Center,305,7.8
Acacia Suite,268,8.6
Hotel Acacia Premium Suite,479,8.7
Design Apartments & Studios Gothic,457,6.9
Limehome Barcelona Carrer De Besalu 82,719,8.8
Friendly Rentals Borbon I,230,7.5
Aparthotel Napols,178,8.7
Hotel Rialto,261,8.0
Hola Hostal Eixample,225,8.1
Limehome Barcelona Carrer De Fontcoberta,242,6.7
Anaiak Apartments,201,8.0
Sonder La Casa Del Sol,432,9.0
Magic Apartments Center Eixample,283,6.1
Hotel Lugano Barcelona,256,8.6
Hostal Delfos,327,7.3
Alojamiento Rambla De Cataluna,208,7.7
Ab Beach Poble Nou,199,8.6
Cosmopolitan Boutique Rambla,189,9.0
Margot House,292,9.4
Mercer Hotel Barcelona,682,9.7
Bright Sunny Apartment In Central Exiample,214,7.6
Hotel Casual Colours Barcelona,287,9.6
Silken Ramblas,622,8.3
Hotel España,337,8.4
Casp Green House,339,7.8
Rent Top Apartments Rambla Catalunya,325,8.0
Leonardo Hotel Barcelona Gran Via,273,8.6
El Call,301,7.2
Sofitel Barcelona Skipper,234,9.4
Casa Camper Barcelona,527,9.8
Hostel One Paralelo,232,9.7
Porxos Garden,203,9.8
Líbere Barcelona Sant Antoni,287,8.3
Amistat Beach Hostel,268,9.1
Laramond Barcelona Rooms,565,9.1
Sonder Casa Luz,458,9.2
No Limit Hostel Central,326,7.5
Hostal Colkida,238,7.4
Hotel Attica 21 Barcelona Mar,249,8.5
Urbany Hostel Bcn Go,230,7.5
Bonavista Apartments - Virreina,373,9.2
Apartment Barcelona Rentals - Gracia Pool Apartments,466,9.4
Hotel Praktik Bakery,193,9.0
Piso Nuevo Al Lado De La Sagrada Familia.,183,9.7
Hostal Boqueria,332,7.6
Vl51,237,8.5
Mellow Barcelona,218,6.9
My Space Barcelona - 2 Bedroom Apartment In Uptown,275,4.4
Inout Hostel,148,7.3
Gargallo Rialto,134,8.8
Sansi Pedralbes,332,8.2
Casa Barcelo,109,6.6
HelloBCN Hostel,98,8.8
Rustic Style Apartments & Studios Bcn,247,7.8
Ant Hostel Barcelona,306,7.8
Casa Lirio,228,8.2
Mambo Tango,257,8.5
360 Hostel Borne,287,8.9
Hesperia Barcelona Barri Gòtic,236,8.1
Hotel Meliá Barcelona Sky,243,8.2
BacHome Barcelona B&B,211,7.8
La Mare by The Streets,193,7.2
The Streets Apartments Rambla,359,9.2
chic&basic Lemon Boutique,352,8.6
Barcino Inversions - Spacious Apartments Near The City Center With Balcony,215,5.4
Bonavista Apartments - Eixample,224,8.6
Aparthotel Bertran,249,8.4
08028 Apartments,358,8.9
H La Paloma - Adults Only,475,7.8
Casa Maca Guest House,218,7.1
ME Barcelona,412,9.3
Apartamentos Gran Vía Bassols,355,8.7
Le Palacete Powered By Sonder,197,9.0
My Space Barcelona Brand New Apartments In City Center,176,4.5
Barcelona Upartments París,243,9.0
Ideal Youth Hostel,178,6.2
Upper Diagonal,150,9.0
Suites Center Barcelona,534,8.9
Bonavista Apartments - Passeig de Gracia,379,9.5
